directory,subdirectory,filename,speaker_id,session_id,utterance_id,transcription
sm1,sm1_01,sm1_01_001,sm1,1,1,~p ~s ~a eight one zero turn right to trasadingen 
sm1,sm1_01,sm1_01_002,sm1,1,2,lufthansa five three one eight contact zurich one three four decimal six 
sm1,sm1_01,sm1_01_003,sm1,1,3,~p ~s ~a eight one zero contact zurich one three three decimal four 
sm1,sm1_01,sm1_01_004,sm1,1,4,sabena four eight one rhein identified 
sm1,sm1_01,sm1_01_005,sm1,1,5,transwede one zero one rhein identified set course trasadingen 
sm1,sm1_01,sm1_01_006,sm1,1,6,india oscar kilo contact rhein one two seven three seven 
sm1,sm1_01,sm1_01_007,sm1,1,7,transavia three eight one zurich radar one three four decimal six 
sm1,sm1_01,sm1_01_008,sm1,1,8,speedbird one five six rhein identified 
sm1,sm1_01,sm1_01_009,sm1,1,9,swissair nine three five two rhein identified 
sm1,sm1_01,sm1_01_010,sm1,1,10,sabena four eight one turn left to dinkelsbuhl 
sm1,sm1_01,sm1_01_011,sm1,1,11,swissair nine three five two climb flight level three five zero set course to gotil 
sm1,sm1_01,sm1_01_012,sm1,1,12,lufthansa eight two six eight rhein identified set course trasadingen climb flight level two seven zero 
sm1,sm1_01,sm1_01_013,sm1,1,13,sabena eight three eight rhein identified direct to gotil 
sm1,sm1_01,sm1_01_014,sm1,1,14,speedbird one five six contact rhein one two seven three seven 
sm1,sm1_01,sm1_01_015,sm1,1,15,foxtrot sierra india rhein identified climb flight level two six zero 
sm1,sm1_01,sm1_01_016,sm1,1,16,transwede one zero one proceed direct to hochwald thereafter st prex 
sm1,sm1_01,sm1_01_017,sm1,1,17,foxtrot sierra india report heading 
sm1,sm1_01,sm1_01_018,sm1,1,18,roger turn left heading one eight five 
sm1,sm1_01,sm1_01_019,sm1,1,19,india tango alfa sierra alfa rhein identified 
sm1,sm1_01,sm1_01_020,sm1,1,20,sabena four eight one contact rhein one three two decimal four 
sm1,sm1_01,sm1_01_021,sm1,1,21,india sierra alfa turn one five degrees to the left 
sm1,sm1_01,sm1_01_022,sm1,1,22,hapag lloyd six five three rhein identified climb flight level two seven zero 
sm1,sm1_01,sm1_01_023,sm1,1,23,swissair nine three five two rhein one two seven decimal three seven 
sm1,sm1_01,sm1_01_024,sm1,1,24,lufthansa eight two six eight climb flight level two nine zero 
sm1,sm1_01,sm1_01_025,sm1,1,25,foxtrot sierra india climb flight level two seven zero 
sm1,sm1_01,sm1_01_026,sm1,1,26,hapag lloyd six five three climb flight level two nine zero set course trasadingen 
sm1,sm1_01,sm1_01_027,sm1,1,27,malaysian two rhein identified 
sm1,sm1_01,sm1_01_028,sm1,1,28,foxtrot sierra india turn left heading one seven five climb flight level three seven zero 
sm1,sm1_01,sm1_01_029,sm1,1,29,india sierra alfa turn right to frankfurt 
sm1,sm1_01,sm1_01_030,sm1,1,30,sabena eight three eight contact rhein one two seven three seven 
sm1,sm1_01,sm1_01_031,sm1,1,31,swissair six five two zero rhein do you read 
sm1,sm1_01,sm1_01_032,sm1,1,32,lufthansa eight two six eight contact zurich one three four decimal six 
sm1,sm1_01,sm1_01_033,sm1,1,33,constellation two two five one rhein identified 
sm1,sm1_01,sm1_01_034,sm1,1,34,transwede one zero one contact zurich one three three decimal four 
sm1,sm1_01,sm1_01_035,sm1,1,35,foxtrot sierra india set course to trasadingen 
sm1,sm1_01,sm1_01_036,sm1,1,36,foxtrot sierra india report rate of climb 
sm1,sm1_01,sm1_01_037,sm1,1,37,roger keep this rate until reaching 
sm1,sm1_01,sm1_01_038,sm1,1,38,swissair six five two zero rhein radar do you read 
sm1,sm1_01,sm1_01_039,sm1,1,39,foxtrot sierra india contact zurich one three three decimal four 
sm1,sm1_01,sm1_01_040,sm1,1,40,olympic one four four rhein identified 
sm1,sm1_01,sm1_01_041,sm1,1,41,malaysian two contact rhein one two seven three seven 
sm1,sm1_01,sm1_01_042,sm1,1,42,georgia air rhein radar identified 
sm1,sm1_01,sm1_01_043,sm1,1,43,sobelair two five five seven rhein identified 
sm1,sm1_01,sm1_01_044,sm1,1,44,~k ~l ~m three hundred kilo rhein identified 
sm1,sm1_01,sm1_01_045,sm1,1,45,station calling say again 
sm1,sm1_01,sm1_01_046,sm1,1,46,transwede one zero seven rhein identified 
sm1,sm1_01,sm1_01_047,sm1,1,47,india sierra alfa contact rhein one two seven three seven 
sm1,sm1_01,sm1_01_048,sm1,1,48,alitalia one one seven rhein identified olympic one four four request your heading 
sm1,sm1_01,sm1_01_049,sm1,1,49,olympic one four four turn left heading one one five for separation 
sm1,sm1_01,sm1_01_050,sm1,1,50,jet set eight one seven rhein identified 
sm1,sm1_01,sm1_01_051,sm1,1,51,constellation two two five one contact rhein one three two decimal four 
sm1,sm1_01,sm1_01_052,sm1,1,52,air malta zero zero four rhein radar identified 
